Date,Data Type Available,Depth,Location,Dummy,Year
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-21,Temp,,,1,2012
2012-11-21,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-12-06,Temp,,,1,2012
2012-12-06,Temp,,,1,2012
2012-12-20,Temp,,,1,2012
2012-12-20,Temp,,,1,2012
2013-01-24,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2013-02-07,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-02-23,Temp,,,1,2013
2013-02-23,Temp,,,1,2013
2013-02-23,Temp,,,1,2013
2013-02-23,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-04-03,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-19,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2012-09-27,Temp,,,1,2012
2013-03-12,Temp,,,1,2013
2011-08-05,Temp,,,1,2011
2011-08-05,Temp,,,1,2011
2012-11-07,Temp,,,1,2012
2012-11-21,Temp,,,1,2012
2010-07-22,Temp,,,1,2010
2012-09-27,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2010-08-18,Temp,,,1,2010
2011-07-29,Temp,,,1,2011
2012-11-07,Temp,,,1,2012
2010-08-12,Temp,,,1,2010
2013-01-17,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2011-08-05,Temp,,,1,2011
2011-08-05,Temp,,,1,2011
2013-07-25,Temp,,,1,2013
2010-07-15,Temp,,,1,2010
2013-03-12,Temp,,,1,2013
2012-11-14,Temp,,,1,2012
2011-08-05,Temp,,,1,2011
2010-08-18,Temp,,,1,2010
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2011-08-05,Temp,,,1,2011
2013-08-15,Temp,,,1,2013
2010-07-15,Temp,,,1,2010
2013-07-25,Temp,,,1,2013
2012-11-14,Temp,,,1,2012
2013-03-05,Temp,,,1,2013
2011-07-29,Temp,,,1,2011
2013-07-25,Temp,,,1,2013
2011-07-22,Temp,,,1,2011
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2010-08-18,Temp,,,1,2010
2012-11-28,Temp,,,1,2012
2010-07-22,Temp,,,1,2010
2010-07-22,Temp,,,1,2010
2010-07-22,Temp,,,1,2010
2010-07-22,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2011-07-22,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2013-01-17,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2013-02-07,Temp,,,1,2013
2013-02-07,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-05-15,Temp,,,1,2013
2013-05-15,Temp,,,1,2013
2013-05-15,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2011-08-19,Temp,,,1,2011
2013-08-08,Temp,,,1,2013
2012-10-17,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2013-08-01,Temp,,,1,2013
2012-11-14,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2013-08-01,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2012-10-31,Temp,,,1,2012
2010-08-18,Temp,,,1,2010
2010-07-15,Temp,,,1,2010
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2012-10-17,Temp,,,1,2012
2013-01-03,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2012-10-17,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2013-08-01,Temp,,,1,2013
2010-07-15,Temp,,,1,2010
2013-08-01,Temp,,,1,2013
2012-10-11,Temp,,,1,2012
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2012-10-17,Temp,,,1,2012
2011-07-14,Temp,,,1,2011
2013-01-24,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2012-10-17,Temp,,,1,2012
2013-08-01,Temp,,,1,2013
2011-07-22,Temp,,,1,2011
2013-03-20,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2012-09-27,Temp,,,1,2012
2011-08-19,Temp,,,1,2011
2012-10-11,Temp,,,1,2012
2011-08-19,Temp,,,1,2011
2013-01-03,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2010-07-22,Temp,,,1,2010
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-29,Temp,,,1,2011
2011-07-29,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-31,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-21,Temp,,,1,2012
2012-11-21,Temp,,,1,2012
2013-01-03,Temp,,,1,2013
2013-01-17,Temp,,,1,2013
2013-01-17,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-02-07,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-02-23,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-07-25,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2012-07-23,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2013-01-03,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2012-07-23,Temp,,,1,2012
2013-04-17,Temp,,,1,2013
2012-07-23,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2011-07-29,Temp,,,1,2011
2013-03-05,Temp,,,1,2013
2012-08-03,Temp,,,1,2012
2010-07-22,Temp,,,1,2010
2012-09-27,Temp,,,1,2012
2011-07-29,Temp,,,1,2011
2012-07-23,Temp,,,1,2012
2013-01-03,Temp,,,1,2013
2012-07-23,Temp,,,1,2012
2011-08-05,Temp,,,1,2011
2012-07-23,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-12-05,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2013-08-08,Temp,,,1,2013
2011-07-29,Temp,,,1,2011
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2011-07-29,Temp,,,1,2011
2011-07-29,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-12-20,Temp,,,1,2012
2012-12-20,Temp,,,1,2012
2012-12-20,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2013-01-24,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2013-01-30,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-04-03,Temp,,,1,2013
2013-04-03,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2012-10-31,Temp,,,1,2012
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2012-08-03,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2013-05-08,Temp,,,1,2013
2011-08-19,Temp,,,1,2011
2011-08-05,Temp,,,1,2011
2013-08-08,Temp,,,1,2013
2012-07-23,Temp,,,1,2012
2011-07-08,Temp,,,1,2011
2011-07-08,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-25,Temp,,,1,2011
2012-07-23,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-12-06,Temp,,,1,2012
2012-12-06,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2013-01-10,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-02-23,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-06-05,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2012-11-21,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-11-21,Temp,,,1,2012
2012-12-13,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2013-06-05,Temp,,,1,2013
2012-07-12,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2011-07-14,Temp,,,1,2011
2013-05-01,Temp,,,1,2013
2012-07-23,Temp,,,1,2012
2013-08-15,Temp,,,1,2013
2011-07-14,Temp,,,1,2011
2013-08-08,Temp,,,1,2013
2012-12-06,Temp,,,1,2012
2013-01-30,Temp,,,1,2013
2011-07-22,Temp,,,1,2011
2012-07-23,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-03,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-09-27,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-12-06,Temp,,,1,2012
2012-12-13,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2012-12-27,Temp,,,1,2012
2013-01-30,Temp,,,1,2013
2013-02-07,Temp,,,1,2013
2013-02-15,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-06-27,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2012-10-04,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2013-05-01,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2013-05-01,Temp,,,1,2013
2012-07-23,Temp,,,1,2012
2013-04-17,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2013-08-01,Temp,,,1,2013
2012-07-12,Temp,,,1,2012
2011-08-19,Temp,,,1,2011
2013-04-10,Temp,,,1,2013
2010-08-12,Temp,,,1,2010
2013-08-08,Temp,,,1,2013
2010-07-22,Temp,,,1,2010
2010-08-12,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2012-07-12,Temp,,,1,2012
2012-07-12,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-08-16,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-10-04,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-11-14,Temp,,,1,2012
2012-11-21,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-12-06,Temp,,,1,2012
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-17,Temp,,,1,2013
2013-01-17,Temp,,,1,2013
2013-02-07,Temp,,,1,2013
2013-03-12,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-05-29,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-29,Temp,,,1,2013
2013-08-08,Temp,,,1,2013
2013-08-15,Temp,,,1,2013
2012-10-04,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2013-05-22,Temp,,,1,2013
2012-08-21,Temp,,,1,2012
2013-05-22,Temp,,,1,2013
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2013-08-01,Temp,,,1,2013
2012-08-21,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2013-05-29,Temp,,,1,2013
2012-07-12,Temp,,,1,2012
2012-10-11,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2010-07-22,Temp,,,1,2010
2012-08-03,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-11-28,Temp,,,1,2012
2012-07-19,Temp,,,1,2012
2010-08-12,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2012-07-19,Temp,,,1,2012
2012-07-23,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-10,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-21,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-08-26,Temp,,,1,2012
2012-09-06,Temp,,,1,2012
2012-09-06,Temp,,,1,2012
2012-09-06,Temp,,,1,2012
2012-09-06,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-10-17,Temp,,,1,2012
2012-10-24,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
2012-11-07,Temp,,,1,2012
